split,seed,model,rmse,mae,r2,coverage_95,mean_interval_width,nlpd,crps,interval_score_95
16,58,Bayesian Gibbs,4.503225674935574,3.2547584132256278,0.7656861783654131,0.9607843137254902,19.394258657071575,2.9301784111598668,2.467295142316899,25.6626736292024
17,59,Ordinary least squares,5.759333770462394,3.920996368275175,0.7185787734114721,0.9215686274509803,17.61667031465752,3.2428618736397707,2.9278584490227946,38.617974812364636
17,59,RidgeCV,5.759543155213783,3.913061334647274,0.7185583104943885,0.9215686274509803,17.625945090799128,3.242583905400862,2.9193210546695947,38.71638166822461
17,59,BayesianRidge,5.76147679558489,3.910401364610414,0.7183693030154755,0.9215686274509803,17.85935520526574,3.2296981420370123,2.9157322463761486,38.485960194757475
17,59,ARDRegression,5.718986451424424,3.864869580269799,0.7225079846241071,0.9215686274509803,17.78980702597582,3.22065793199474,2.882845064066437,38.06941527321967
17,59,Bayesian Gibbs,5.762691856335989,3.9172426759823917,0.7182505020544914,0.9215686274509803,17.814405025925215,3.219300384406556,2.932279267674843,38.33448458973257
18,60,Ordinary least squares,4.491131355543886,3.090847375021752,0.7205245575883785,0.9509803921568627,18.9288972665249,2.9260559135105666,2.3988956290132606,27.30304189691355
18,60,RidgeCV,4.495262942155108,3.071908020268589,0.7200101178967657,0.9509803921568627,18.947937774635975,2.9269870327113505,2.3911366009789488,27.479432093176285
18,60,BayesianRidge,4.495731361944994,3.0711456582415297,0.719951763296962,0.9509803921568627,19.191608039948992,2.9224878221427404,2.3923181820234674,27.213013730324963
18,60,ARDRegression,4.483970084479458,3.0646195573572625,0.721415114371893,0.9509803921568627,19.097203477974546,2.9188628447755565,2.3855145458108313,27.070588520723852
18,60,Bayesian Gibbs,4.4910512384756585,3.084230226275716,0.7205345285963947,0.9509803921568627,19.178389264288313,2.92095573798281,2.4038575196770386,27.197919885315535
19,61,Ordinary least squares,4.796164715494582,3.6162606156409693,0.7947540018710603,0.9411764705882353,18.74679113237281,2.9867633510524834,2.638578459995879,26.100297762475662
19,61,RidgeCV,4.80600898285846,3.6008564487511863,0.7939105904518214,0.9411764705882353,18.759898577216465,2.988823387602899,2.638137250483579,26.189801804106786
19,61,BayesianRidge,4.812551845435616,3.596818293249655,0.7933490715072535,0.9509803921568627,19.073827131966276,2.9831023547493087,2.634086538841764,26.15702812427436
19,61,ARDRegression,4.865929898236318,3.620701565991512,0.788739543259787,0.9509803921568627,18.940105725367104,2.9934906224256914,2.6639240353114295,26.093359744028785
19,61,Bayesian Gibbs,4.801066379539623,3.6091660640612098,0.7943342660707291,0.9411764705882353,19.202028796100173,2.981028229547831,2.6363310834369122,26.29947841582771
20,62,Ordinary least squares,5.037351679097884,3.506028453708415,0.7361816434410036,0.9509803921568627,18.398855488224335,3.041056402781646,2.6068009411189057,29.055062300793733
